motif_name,WT_Tfh_vs_Naive,Prdm1KO_Tfh_vs_Naive,DKO_Tfh_vs_Naive,WT_Th1_vs_Naive,Bcl6KO_Th1_vs_Naive,DKO_Th1_vs_Naive
AP-1(bZIP),37.71,38.83,34.26,32.19,31.35,33.19
Atf3(bZIP),36.75,37.7,33.03,30.68,29.47,31.82
BATF(bZIP),36.87,37.95,33.17,30.44,29.3,31.93
EHF(ETS),34.89,34.71,35.49,38.61,40.22,36.46
ELF1(ETS),16.85,17.01,17.17,20.53,21.32,18.49
ELF3(ETS),22.47,22.18,23.04,25.28,26.88,23.99
ELF5(ETS),20.84,20.82,21.3,23.26,24.61,22.0
ETS+M0698(ETS),22.42,22.37,22.3,26.36,27.03,23.5
ERG(ETS),46.84,45.92,48.06,51.84,53.52,49.24
ETS1(ETS),36.07,35.42,37.37,41.65,43.22,38.73
ETV1(ETS),42.45,42.01,43.04,47.82,49.36,44.33
ETV4(ETS),36.98,36.68,37.53,42.45,43.53,38.97
EWS:ERG-fusion(ETS),25.77,25.57,26.52,28.86,30.35,27.44
EWS:FLI1-fusion(ETS),21.89,21.63,22.6,25.1,26.36,23.4
Egr3+M0414(Zf),31.69,31.47,28.05,30.25,28.49,28.54
Elf2+M0708(ETS),54.5,54.41,54.72,59.24,60.2,55.87
Elf4(ETS),31.37,31.18,32.47,35.89,37.61,33.57
Elk1(ETS),19.33,19.46,19.61,22.94,23.67,20.92
Elk3+M0692(ETS),19.14,19.4,19.02,22.52,23.03,20.07
Elk4(ETS),19.51,19.61,19.31,22.53,23.02,20.35
Ets1-distal(ETS),15.77,15.54,16.59,18.64,19.9,17.24
Etv2(ETS),33.58,32.89,34.98,38.99,40.98,36.22
Etv6+M0705(ETS),51.26,51.6,52.08,55.9,57.06,53.1
FEA4(bZIP),24.39,25.28,24.61,25.53,25.12,24.28
Fli1(ETS),37.75,37.49,38.52,43.14,44.56,39.86
Fos+M2278(bZIP),27.96,28.76,24.95,23.04,21.93,24.0
Fosl1+M0296(bZIP),47.64,48.75,44.37,42.54,41.72,43.33
Fosl2(bZIP),26.08,26.76,22.95,21.36,20.4,22.18
Fra1(bZIP),33.69,34.61,30.0,27.85,26.6,29.09
Fra2(bZIP),30.9,31.66,27.43,25.44,24.33,26.49
GABPA(ETS),31.11,30.79,31.66,35.72,37.29,32.78
ERF+M0714(ETS),70.33,69.9,70.18,73.26,73.93,70.88
Irf5+M1267(IRF),30.8,31.35,32.46,30.58,30.42,32.68
Jun+M0311(bZIP),31.48,32.65,29.15,26.6,25.82,27.96
JunB(bZIP),33.84,34.93,30.44,27.99,26.96,29.3
KLF14(Zf),39.62,39.93,39.58,42.63,41.29,40.19
KLF5(Zf),31.51,31.74,33.38,36.14,35.35,34.41
KLF6(Zf),25.69,26.06,26.97,30.06,28.81,27.97
LEF1(HMG),22.26,21.55,18.24,14.01,13.84,17.33
NFAT(RHD),28.35,27.57,23.22,24.14,23.17,22.13
Nfat5+M1519(NFAT),39.36,38.95,35.03,35.28,34.56,33.66
Nfatc2+M1518(NFAT),41.41,40.65,35.62,36.32,35.34,34.3
Nfatc3+M1517(NFAT),43.71,43.03,37.83,38.28,37.36,36.39
PU.1(ETS),17.1,17.13,18.52,20.42,21.42,18.96
RUNX(Runt),29.27,29.19,35.33,34.48,35.23,35.4
RUNX-AML(Runt),28.49,28.37,33.9,32.76,33.48,33.57
RUNX1(Runt),37.15,36.89,43.99,42.49,43.38,44.2
RUNX2(Runt),31.41,31.53,37.61,36.58,37.33,37.47
SPDEF(ETS),27.93,27.68,27.96,30.77,31.81,29.02
Sp5(Zf),25.41,25.26,25.02,27.61,26.6,25.84
Tbet(T-box),30.21,29.65,32.95,33.06,32.91,32.35
Tbr1(T-box),34.21,33.72,37.05,37.27,37.33,36.53
Tbx10+M1628(T-box),21.3,20.32,22.75,23.47,23.28,22.66
Tbx2+M1626(T-box),38.32,37.76,41.18,42.11,42.4,40.94
Tbx21(T-box),27.61,26.5,30.04,30.6,30.39,29.69
Tbx6(T-box),29.34,28.56,31.98,32.67,32.75,31.55
Tcf4(HMG),17.55,16.92,14.08,10.24,10.02,13.34
Tcf7(HMG),13.98,13.3,11.19,7.75,7.44,10.64
Tcf7l2+M1585(HMG),30.63,29.94,26.45,20.52,20.32,24.88
bZIP50(bZIP),20.86,21.58,20.06,20.2,20.11,19.74
